amount,timestamp,txn_type,country_code,is_international,monthly_income,hour_of_day,day_of_week,is_suspicious,HourlyTxnCount,DailyTxnCount,WeeklyTxnCount,HourlyCreditSum,DailyCreditSum,HourlyDebitSum,DailyDebitSum,UniqueCounterparties7d,UniqueCounterparties30d,InflowOutflowRatio,AvgTxnAmount7d,StdTxnAmount7d,TxnAmountZScore,TxnAmountToIncomeRatio,HourOfDay,DayOfWeek,IsWeekend,IsNightTime,TimeSinceLastTxn,TxnFrequencyAnomaly,IsInternational,CountryRiskScore,UniqueCountries7d,CounterpartyVelocity,SharedCounterparties
107.25,2025-12-13 07:25:39.292663,credit,CA,True,5950.720604429387,7,5,0,1,0,29,47.02677425596681,8540.377717036865,241.05468694690933,65.10563773491144,7,13,1.276240557741953,163.14436114441185,65.90846264458865,0.8475045154928792,0.018023027315409338,7,5,1,0,68.08586907427643,2,1,1,3,0,1
104.81,2025-12-11 22:02:39.292663,debit,US,False,4977.816144665881,22,3,0,5,4,16,363.9923170258023,8367.968718331234,196.37090198825095,1471.977583791212,6,14,1.0942779781015284,170.37236935709086,55.325051103102524,-0.19764691878711724,0.021055418069691485,22,3,0,1,164.52243064327462,0,0,1,4,8,0
104.6,2026-02-01 20:44:39.292663,credit,FR,True,1863.0583511942577,20,6,0,2,7,18,163.6338412718171,1018.4581996907874,15389.22506188956,97.56851847091735,4,14,1.1932913739454716,217.19222931339363,14.9282229151362,0.14603948063561345,0.05614424257455452,20,6,1,0,55.35086904358612,0,1,1,5,4,2
1270.52,2026-02-08 04:59:39.292663,credit,DE,True,4469.785325288214,4,6,0,2,4,28,473.09531982683563,3417.5654805399004,172.55930936809355,17703.18742752691,5,13,0.42536101018030936,194.32449214135403,63.855765654409886,-0.016566513356251467,0.2842463133099298,4,6,1,1,6.796166833897448,3,1,1,1,2,2
336.9,2025-12-06 06:43:39.292663,debit,CA,True,5376.846478190066,6,5,0,2,7,22,7.472569055493448,1.6648305571508133,1940.214457969602,1495.9900162431798,6,8,1.0276239149959736,295.16487337480845,26.611227909777895,0.7784759438203159,0.06265754496925975,6,5,1,0,5.476525345297229,1,1,1,1,1,3
184.1,2026-01-11 22:55:39.292663,debit,CA,True,6939.93414778336,22,6,0,1,3,18,23.4688842630529,70.22425727649369,15.79063237619344,2073.1373319767786,7,11,1.039095622602628,1075.2371099370303,50.740138545627005,0.7551605431948948,0.026527629236770527,22,6,1,1,57.609598338785574,3,1,1,1,4,0
175.96,2026-02-07 08:51:39.292663,credit,US,False,3721.6159780028256,8,5,0,3,5,22,60.68770454589521,1092.445749175943,116.87265365206204,373.63592670413016,5,21,1.4470687872849308,468.91149996981613,38.9988258555423,-0.765958337833734,0.04728053647663762,8,5,1,0,2.248658336699878,0,0,1,2,1,0
116.88,2026-01-29 22:13:39.292663,debit,CA,True,5312.583844866717,22,3,0,2,10,21,63.874764879892844,12448.421536001008,111.73770046540106,920.1768881842185,4,20,1.0547112521494677,1005.5452467371775,48.77392839384202,0.8775370565440113,0.022000593950707293,22,3,0,1,6.551496571853751,2,1,1,5,3,1
296.53,2026-02-03 06:07:39.292663,debit,US,False,5789.922589435973,6,1,0,0,3,26,20.608912165500655,62080.721593588394,524.4773086020311,3829.3516864056865,8,14,0.6908000382818473,107.49250520856219,15.639051662952605,-1.4559031576624129,0.0512148470760274,6,1,0,0,114.07510533104973,1,0,1,1,7,0
442.1,2025-11-29 06:06:39.292663,debit,CA,True,3737.8787525347307,6,5,0,1,4,19,8.293368187849774,1371.083193669934,33.9690589140382,39.52848248347014,4,13,1.8104306705018094,1320.5152164616115,66.77248503000519,0.5693463312581942,0.1182756395456121,6,5,1,0,75.18727696623185,1,1,1,2,1,0
503.05,2026-01-11 22:19:39.292663,credit,US,False,912.1700045790099,22,6,0,1,5,24,7910.158498210281,121.65357047126749,70.62103201577895,5244.0540698696395,4,20,2.818253008252936,145.60610974930145,63.69286730211653,-0.30535312889009525,0.5514871103793537,22,6,1,1,21.388703473032447,0,0,1,0,1,0
65.13,2025-11-12 02:14:39.292663,credit,UK,True,7006.849453481702,2,2,0,6,4,20,96.7776980469351,106.01472323485245,63.02425759892162,69.87148784930682,2,21,1.2572114912764238,174.50766498804384,66.11182378792478,0.05498541749343181,0.009295190432218707,2,2,0,1,14.165653822566938,1,1,1,2,1,1
172.85,2026-02-03 20:17:39.292663,debit,CA,True,6452.819200010751,20,1,0,0,0,20,16.893804516836042,99.06381047571506,89.3446019360303,3714.204724240806,9,17,0.9581020314466243,358.044840898548,36.15396038741086,-0.6219442914073506,0.026786741522172513,20,1,0,0,109.90502090173275,2,1,1,0,5,2
116.41,2026-01-31 23:22:39.292663,credit,US,False,2715.590474491632,23,5,0,1,5,18,1.7211882427933969,30382.498709121417,168.1745778242399,964.8966424910637,7,10,2.1673413317091126,172.5035667358949,21.815724816972125,1.2566559694821824,0.04286728838294086,23,5,1,1,51.138977038328726,0,0,1,5,6,2
160.09,2025-12-03 05:17:39.292663,debit,US,False,-251.82751816269774,5,2,0,1,3,11,44.123803544771995,4774.037842091137,7.689420201903005,1963.6539168099398,7,14,0.8443250341834391,580.168938640683,93.30175809741044,0.17611785264981322,-0.6357128925702669,5,2,0,1,29.92764290721557,0,0,1,2,2,0
652.2,2025-11-20 22:50:39.292663,credit,US,False,7464.813069271435,22,3,0,3,8,20,634.6045350296189,761.8005704256814,207.33054309007525,114053.79972231331,6,9,0.680926142605967,333.77774777399037,39.710462623261044,0.2122052744607724,0.08736990383386181,22,3,0,1,25.89864819176975,0,0,1,1,1,1
262.8,2025-12-02 08:05:39.292663,credit,US,False,6265.680934638096,8,1,0,1,8,19,323.5265766369749,97.3768984524478,264.0264091500877,1790.3156626546001,11,12,1.4448530367228594,245.0556070575836,33.34005318163332,-0.12758273639006754,0.04194276771215438,8,1,0,0,68.43901277656502,0,0,1,4,3,4
165.95,2025-12-30 20:25:39.292663,debit,UK,True,5818.85564918063,20,1,0,4,5,23,849.6268236180732,903.654158679773,3.2398031198932027,344.39847083441697,6,15,1.460555599415062,1145.8387169420992,1676.8907685617185,1.1849498304518824,0.02851935328957127,20,1,0,0,10.93032809576973,0,1,1,6,3,0
66.91,2025-11-20 07:04:39.292663,credit,FR,True,1265.366514087224,7,3,0,0,4,26,20633.965641111146,84.64812571320128,3324.5903559009726,160.99748396152242,6,6,0.8892608923443421,288.0747571526918,337.99400536742087,0.30740387187159113,0.052877960065401075,7,3,0,0,4.140978090942576,4,1,1,1,2,0
520.39,2026-01-16 00:14:39.292663,debit,DE,True,6925.903946662178,0,4,0,2,5,18,36.050437695043705,20876.711978878764,380.81342266891266,892.1132439021554,6,25,1.8576809278192337,212.25628149260092,100.42299153687496,-0.7770276474342408,0.07513676250892753,0,4,0,1,30.10535068233874,0,1,1,2,4,1
37.6,2026-01-19 04:46:39.292663,debit,CA,True,8948.158850161137,4,0,0,2,2,19,89.86508762616764,656.0416774960318,9394.368028561687,3074.4884213992495,10,12,1.3032150441222135,692.5255724635522,69.33965202557222,0.5745409349721783,0.004201981729383683,4,0,0,1,59.104128163727715,2,1,1,4,0,2
420.87,2025-12-07 02:18:39.292663,debit,FR,True,2602.0680407385116,2,6,0,4,10,20,7.867313312640052,219.07337286516372,66.53151677334859,45.520344822043086,5,11,1.5328835583867562,195.5871142770553,173.19807968078123,1.2712314086720995,0.16174442536120226,2,6,1,1,26.511400187277836,1,1,1,2,4,1
